GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,IS_STARTER,EFF,TS_PCT,EFF_scaled,TS_PCT_scaled,MIN_scaled,IMPACT_SCORE
22400061,1610612738,BOS,Boston,1628401,Derrick White,Derrick,G,26.63,8.0,13.0,0.615,6.0,10.0,0.6,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,24.0,21.0,1,27.0,0.8645533141210374,0.607843137254902,0.8645533141210374,0.6078250863060989,0.6848507750301017
22400061,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,G,30.52,7.0,9.0,0.778,4.0,6.0,0.667,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,18.0,23.0,1,25.0,1.0,0.5686274509803921,1.0,0.6973532796317605,0.736656964281685
22400061,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,0,19.32,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,0,9.0,0.6666666666666666,0.2549019607843137,0.6666666666666666,0.4395857307249712,0.43383650353121683
22400061,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,0,24.97,1.0,10.0,0.1,1.0,9.0,0.111,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,3.0,7.0,0,1.0,0.15,0.09803921568627451,0.15,0.5696202531645569,0.25510176222387687
22400061,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,0,24.17,4.0,10.0,0.4,2.0,7.0,0.286,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,10.0,6.0,0,10.0,0.5,0.27450980392156865,0.5,0.5512082853855005,0.4251664071842776
22400061,1610612738,BOS,Boston,1630214,Xavier Tillman,Xavier,0,17.7,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,2.0,-3.0,0,6.0,0.16666666666666666,0.19607843137254902,0.16666666666666666,0.40230149597238196,0.24912182134073418
22400061,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,0,6.08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.0,0,0.0,0.0,0.0784313725490196,0.0,0.13486766398158803,0.07183284821408426
22400061,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,0,0.0,0.0,0.0784313725490196,0.0,0.09459148446490218,0.05974999435907849
22400062,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,16.0,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,-8.0,1,4.0,0.375,0.1568627450980392,0.375,0.3631760644418872,0.28419791737178185
22400062,1610612750,MIN,Minnesota,203944,Julius Randle,Julius,F,34.32,5.0,10.0,0.5,1.0,3.0,0.333,5.0,7.0,0.714,3.0,6.0,9.0,4.0,0.0,0.0,2.0,3.0,16.0,2.0,1,20.0,0.6116207951070336,0.47058823529411764,0.6116207951070336,0.7848101265822783,0.6071645706244406
